,Algoritmo,Métrica,Valor
327,RedeNeural,RMSE,1009638.0331957102
328,RedeNeural,RMSE,1009637.3725906928
329,RedeNeural,RMSE,1009637.4993710232
330,RedeNeural,RMSE,1009640.6092090401
331,RedeNeural,RMSE,1009639.8482058257
332,RedeNeural,RMSE,1009642.3264743845
333,RedeNeural,RMSE,1006059.5164633195
334,RedeNeural,RMSE,1005673.1291321331
335,RedeNeural,RMSE,1005987.0210048277
336,RedeNeural,RMSE,1009550.5132192692
337,RedeNeural,RMSE,1009551.3986432794
338,RedeNeural,RMSE,1009551.3118367271
339,RedeNeural,RMSE,1009553.239713223
340,RedeNeural,RMSE,1009554.4617742213
341,RedeNeural,RMSE,1009553.8682305114
342,RedeNeural,RMSE,1001819.7608602488
343,RedeNeural,RMSE,1002090.8291530835
344,RedeNeural,RMSE,1001905.0233526016
345,RedeNeural,RMSE,1009378.655798383
346,RedeNeural,RMSE,1009377.8608110833
347,RedeNeural,RMSE,1009377.9193985934
348,RedeNeural,RMSE,1009382.2158515634
349,RedeNeural,RMSE,1009381.9751325331
350,RedeNeural,RMSE,1009381.5777149153
351,RedeNeural,RMSE,739024.77712923
352,RedeNeural,RMSE,787827.0104463527
353,RedeNeural,RMSE,727180.4083210974
354,RedeNeural,RMSE,1009642.2766405568
355,RedeNeural,RMSE,1009642.9453927599
356,RedeNeural,RMSE,1009643.5326089989
357,RedeNeural,RMSE,1009663.9970969862
358,RedeNeural,RMSE,1009662.6504109864
359,RedeNeural,RMSE,1009662.0200310517
360,RedeNeural,RMSE,427242.06943716214
361,RedeNeural,RMSE,383498.21339284827
362,RedeNeural,RMSE,398926.78204354004
363,RedeNeural,RMSE,1009560.163438798
364,RedeNeural,RMSE,1009561.0949931216
365,RedeNeural,RMSE,1009564.4679510068
366,RedeNeural,RMSE,1009592.883765477
367,RedeNeural,RMSE,1009611.7278989144
368,RedeNeural,RMSE,1009606.3609632025
369,RedeNeural,RMSE,325646.9558454494
370,RedeNeural,RMSE,326005.250119198
371,RedeNeural,RMSE,338657.8252238522
372,RedeNeural,RMSE,1009399.1843261115
373,RedeNeural,RMSE,1009403.5502533047
374,RedeNeural,RMSE,1009404.6055234291
375,RedeNeural,RMSE,1009517.0786629767
376,RedeNeural,RMSE,1009528.435947325
377,RedeNeural,RMSE,1009504.1493095709
378,RedeNeural,RMSE,290163.9684283753
379,RedeNeural,RMSE,300776.5477482931
380,RedeNeural,RMSE,312100.6931333578
381,RedeNeural,RMSE,1009642.4889976355
382,RedeNeural,RMSE,1009643.3998640788
383,RedeNeural,RMSE,1009643.9667431464
384,RedeNeural,RMSE,1009669.4354687457
385,RedeNeural,RMSE,1009662.0838613862
386,RedeNeural,RMSE,1009667.8062206819
387,RedeNeural,RMSE,277376.7313596284
388,RedeNeural,RMSE,278041.51596967573
389,RedeNeural,RMSE,286989.2585307248
390,RedeNeural,RMSE,1009560.8919900653
391,RedeNeural,RMSE,1009562.4659360173
392,RedeNeural,RMSE,1009565.0410541577
393,RedeNeural,RMSE,1009609.0663354653
394,RedeNeural,RMSE,1009604.9309240226
395,RedeNeural,RMSE,1009612.6615920672
396,RedeNeural,RMSE,269603.6916202789
397,RedeNeural,RMSE,271189.3242971418
