,Algoritmo,Métrica,Valor
260,RedeNeural,RMSE,7678.283768978104
261,RedeNeural,RMSE,7666.604583920964
262,RedeNeural,RMSE,7669.426648926964
263,RedeNeural,RMSE,7669.097714428126
264,RedeNeural,RMSE,7670.377754764446
265,RedeNeural,RMSE,7670.5181585939035
266,RedeNeural,RMSE,7669.465531195785
267,RedeNeural,RMSE,7674.078106240625
268,RedeNeural,RMSE,7674.475744536615
269,RedeNeural,RMSE,7673.546126179225
270,RedeNeural,RMSE,7667.934895277177
271,RedeNeural,RMSE,7666.614441519448
272,RedeNeural,RMSE,7663.458698700163
273,RedeNeural,RMSE,7676.314020008838
274,RedeNeural,RMSE,7676.063633525199
275,RedeNeural,RMSE,7677.036890674384
276,RedeNeural,RMSE,7679.411153744978
277,RedeNeural,RMSE,7679.614838972084
278,RedeNeural,RMSE,7677.754916275873
279,RedeNeural,RMSE,7558.770917399009
280,RedeNeural,RMSE,7564.388262312731
281,RedeNeural,RMSE,7582.090299561458
282,RedeNeural,RMSE,7670.3545756517515
283,RedeNeural,RMSE,7670.840315881722
284,RedeNeural,RMSE,7669.808863763914
285,RedeNeural,RMSE,7674.525976525441
286,RedeNeural,RMSE,7675.556076282724
287,RedeNeural,RMSE,7676.384751582078
288,RedeNeural,RMSE,7270.697489871171
289,RedeNeural,RMSE,7247.26848850877
290,RedeNeural,RMSE,7277.344306734598
291,RedeNeural,RMSE,7659.604831233797
292,RedeNeural,RMSE,7658.724225381052
293,RedeNeural,RMSE,7658.748362489351
294,RedeNeural,RMSE,7670.836663267628
295,RedeNeural,RMSE,7670.8040678253665
296,RedeNeural,RMSE,7670.258263671319
297,RedeNeural,RMSE,7477.60704534018
298,RedeNeural,RMSE,7488.533337063989
299,RedeNeural,RMSE,7599.455954995252
300,RedeNeural,RMSE,7674.655261110468
301,RedeNeural,RMSE,7675.409875796141
302,RedeNeural,RMSE,7676.078102173669
303,RedeNeural,RMSE,7678.506588848243
304,RedeNeural,RMSE,7679.569858885
305,RedeNeural,RMSE,7681.092606372087
306,RedeNeural,RMSE,6085.930444001791
307,RedeNeural,RMSE,6350.983766355958
308,RedeNeural,RMSE,6789.782674422072
309,RedeNeural,RMSE,7669.117527117677
310,RedeNeural,RMSE,7670.388081023584
311,RedeNeural,RMSE,7670.222352487669
312,RedeNeural,RMSE,7676.25983437284
313,RedeNeural,RMSE,7676.397280913527
314,RedeNeural,RMSE,7676.245100710252
315,RedeNeural,RMSE,2723.0867291020063
316,RedeNeural,RMSE,2694.372775305033
317,RedeNeural,RMSE,2894.0751570318316
318,RedeNeural,RMSE,7659.451648115811
319,RedeNeural,RMSE,7660.08170059348
320,RedeNeural,RMSE,7660.554998526811
321,RedeNeural,RMSE,7671.916376370229
322,RedeNeural,RMSE,7671.166816099534
323,RedeNeural,RMSE,7671.267359750792
324,RedeNeural,RMSE,7397.080482597682
325,RedeNeural,RMSE,7371.08127736961
326,RedeNeural,RMSE,7325.363647636675
327,RedeNeural,RMSE,7644.888770078859
328,RedeNeural,RMSE,7642.960886154023
329,RedeNeural,RMSE,7644.74229754909
330,RedeNeural,RMSE,7648.268432759957
331,RedeNeural,RMSE,7649.349795849395
332,RedeNeural,RMSE,7647.58399201066
333,RedeNeural,RMSE,6951.444887796321
334,RedeNeural,RMSE,6940.731252056923
335,RedeNeural,RMSE,6899.830982659496
336,RedeNeural,RMSE,7607.9529327676155
337,RedeNeural,RMSE,7607.7979974730415
338,RedeNeural,RMSE,7608.664074159447
339,RedeNeural,RMSE,7614.041844624426
340,RedeNeural,RMSE,7614.361723058483
341,RedeNeural,RMSE,7613.54483933624
342,RedeNeural,RMSE,6188.233257810551
343,RedeNeural,RMSE,6204.361277176129
344,RedeNeural,RMSE,6128.498989354172
345,RedeNeural,RMSE,7537.516972922319
346,RedeNeural,RMSE,7537.573703866049
347,RedeNeural,RMSE,7536.389457583162
348,RedeNeural,RMSE,7546.226991388852
349,RedeNeural,RMSE,7545.854266811275
350,RedeNeural,RMSE,7545.313582318943
351,RedeNeural,RMSE,2711.8531526092297
352,RedeNeural,RMSE,2738.0021847862417
353,RedeNeural,RMSE,2741.5198277978443
354,RedeNeural,RMSE,7646.176936980578
355,RedeNeural,RMSE,7644.639361254565
356,RedeNeural,RMSE,7645.369890175859
357,RedeNeural,RMSE,7658.004563474694
358,RedeNeural,RMSE,7654.269528051511
359,RedeNeural,RMSE,7659.931464806252
360,RedeNeural,RMSE,2718.75077327099
361,RedeNeural,RMSE,2729.0528786863224
362,RedeNeural,RMSE,2694.396647381641
363,RedeNeural,RMSE,7610.334033535468
364,RedeNeural,RMSE,7611.978470550809
365,RedeNeural,RMSE,7612.3214802859975
366,RedeNeural,RMSE,7632.62473636988
367,RedeNeural,RMSE,7641.930910603525
368,RedeNeural,RMSE,7632.923080140574
369,RedeNeural,RMSE,2700.6555906919816
370,RedeNeural,RMSE,2722.643470316856
371,RedeNeural,RMSE,2713.980675850422
372,RedeNeural,RMSE,7545.063825125141
373,RedeNeural,RMSE,7546.512153542086
374,RedeNeural,RMSE,7547.307643514123
375,RedeNeural,RMSE,7591.992691905492
376,RedeNeural,RMSE,7599.678872123923
377,RedeNeural,RMSE,7599.55282668229
378,RedeNeural,RMSE,2724.6865041786696
379,RedeNeural,RMSE,2686.948766079997
380,RedeNeural,RMSE,2709.571038397211
381,RedeNeural,RMSE,7645.929270683084
382,RedeNeural,RMSE,7645.3347800216925
383,RedeNeural,RMSE,7645.378701341146
384,RedeNeural,RMSE,7655.85804853115
385,RedeNeural,RMSE,7656.041318902456
386,RedeNeural,RMSE,7652.640890664337
387,RedeNeural,RMSE,2761.084036902636
388,RedeNeural,RMSE,2753.1094794841447
389,RedeNeural,RMSE,2736.9200788150733
390,RedeNeural,RMSE,7612.934252796118
391,RedeNeural,RMSE,7613.089751311268
392,RedeNeural,RMSE,7613.625338690188
393,RedeNeural,RMSE,7635.4128749141555
394,RedeNeural,RMSE,7635.912574117534
395,RedeNeural,RMSE,7634.116798364243
396,RedeNeural,RMSE,2777.056623913243
397,RedeNeural,RMSE,2759.662003227801
398,RedeNeural,RMSE,2745.824708720581
399,RedeNeural,RMSE,7548.165941946439
400,RedeNeural,RMSE,7547.609984315878
401,RedeNeural,RMSE,7549.641060277952
402,RedeNeural,RMSE,7608.625928983468
403,RedeNeural,RMSE,7612.373408365231
404,RedeNeural,RMSE,7603.139075236217
405,RedeNeural,RMSE,2729.4158391279575
406,RedeNeural,RMSE,2721.429873638295
407,RedeNeural,RMSE,2717.5204005357887
408,RedeNeural,RMSE,7356.500093594901
409,RedeNeural,RMSE,7357.316041550097
410,RedeNeural,RMSE,7356.2326704466
411,RedeNeural,RMSE,7346.7568537915895
412,RedeNeural,RMSE,7349.691858444721
413,RedeNeural,RMSE,7345.400062285534
414,RedeNeural,RMSE,2751.611493327874
415,RedeNeural,RMSE,2754.998273674069
416,RedeNeural,RMSE,2752.9739271743174
417,RedeNeural,RMSE,7065.4313016169945
418,RedeNeural,RMSE,7061.321564570533
419,RedeNeural,RMSE,7062.355426879681
420,RedeNeural,RMSE,7049.3087605109595
421,RedeNeural,RMSE,7051.360468808806
422,RedeNeural,RMSE,7045.108034860144
423,RedeNeural,RMSE,2783.699341122237
424,RedeNeural,RMSE,2793.66775600739
425,RedeNeural,RMSE,2792.5911744991326
426,RedeNeural,RMSE,6545.327628785656
427,RedeNeural,RMSE,6546.573097675817
428,RedeNeural,RMSE,6545.022281478554
429,RedeNeural,RMSE,6520.418902741154
430,RedeNeural,RMSE,6522.364699839366
431,RedeNeural,RMSE,6531.5823367947705
432,RedeNeural,RMSE,2789.195599067489
433,RedeNeural,RMSE,2768.5724418724913
434,RedeNeural,RMSE,2765.1737590571847
435,RedeNeural,RMSE,7363.877995099364
436,RedeNeural,RMSE,7364.445213731423
437,RedeNeural,RMSE,7370.037269368825
438,RedeNeural,RMSE,7475.154196055938
439,RedeNeural,RMSE,7471.183587257187
440,RedeNeural,RMSE,7460.171222747242
441,RedeNeural,RMSE,2754.1543408760763
442,RedeNeural,RMSE,2699.448395466219
443,RedeNeural,RMSE,2748.892948577784
444,RedeNeural,RMSE,7077.719139523856
